fid,iid,rep,BFGS,DE,MLSL,Non-elitist,PSO,Same
7,2,0,2.4073712752,2.4073712752,2.4073712752,2.4073712752,2.4073712752,2.4073712752
7,2,1,0.6676308699,0.6676308699,0.6676308699,0.6676308699,0.6676308699,0.6676308699
7,2,2,0.133077729,0.133077729,0.133077729,0.133077729,0.133077729,0.133077729
7,2,3,0.6615932945,0.6615932945,0.6615932945,0.6615932945,0.6615932945,0.6615932945
7,2,4,1.5823328833,1.5823328833,1.5823328833,1.5823328833,1.5823328833,1.5823328833
7,2,5,1.5823328833,1.5823328833,1.5823328833,1.5823328833,1.5823328833,1.5823328833
7,2,6,1.1210694462,1.1210694462,1.1210694462,1.1210694462,1.1210694462,1.1210694462
7,2,7,0.133077729,0.133077729,0.133077729,0.133077729,0.133077729,0.133077729
7,2,8,0.986275132,0.986275132,0.986275132,0.986275132,0.986275132,0.986275132
7,2,9,0.2531901774,0.2531901774,0.2531901774,0.2531901774,0.2531901774,0.2531901774
7,2,10,0.0095705233,0.0095705233,0.0095705233,0.0095705233,0.0095705233,0.0095705233
7,2,11,0.986275132,0.986275132,0.986275132,0.986275132,0.986275132,0.986275132
7,2,12,0.6615932945,0.6615932945,0.6615932945,0.6615932945,0.6615932945,0.6615932945
7,2,13,0.133077729,0.133077729,0.133077729,0.133077729,0.133077729,0.133077729
7,2,14,6.0281880892,6.0281880892,6.0281880892,6.0281880892,6.0281880892,6.0281880892
7,2,15,0.0099537107,0.0099537107,0.0099537107,0.0099537107,0.0099537107,0.0099537107
7,2,16,0.986275132,0.986275132,0.986275132,0.986275132,0.986275132,0.986275132
7,2,17,0.6615932945,0.6615932945,0.6615932945,0.6615932945,0.6615932945,0.6615932945
7,2,18,0.0099537107,0.0099537107,0.0099537107,0.0099537107,0.0099537107,0.0099537107
7,2,19,0.3258886891,0.3258886891,0.3258886891,0.3258886891,0.3258886891,0.3258886891
7,3,0,4.7307527962,4.7307527962,4.7307527962,4.7307527962,4.7307527962,4.7307527962
7,3,1,3.7038112423,3.7038112423,3.7038112423,3.7038112423,3.7038112423,3.7038112423
7,3,2,0.2896330901,0.2896330901,0.2896330901,0.2896330901,0.2896330901,0.2896330901
7,3,3,1.5500030661,1.5500030661,1.5500030661,1.5500030661,1.5500030661,1.5500030661
7,3,4,3.2728737786,3.2728737786,3.2728737786,3.2728737786,3.2728737786,3.2728737786
