fid,iid,rep,BFGS,DE,MLSL,Non-elitist,PSO,Same
3,4,7,13.3609814814,5.1613084741,13.3609814837,13.3609814817,12.3034303167,13.3609814814
3,4,8,9.949580496,13.2200647752,18.6213660758,18.6213660758,10.1267280144,18.6213660758
3,4,9,6.9647083618,6.9647084586,6.9647084586,6.9647083619,6.9647084586,6.9647083623
3,4,10,7.9596674189,7.9596674383,7.9596674383,7.9596674189,7.9596674383,7.9596674189
3,4,11,6.9661976603,10.7635720693,21.2552716995,21.2552716995,7.9414261885,21.2552716995
3,4,12,12.9344526288,12.9344529365,12.9344529365,12.9344526289,12.9344529365,12.934452629
3,4,13,17.9092226797,17.9092302326,17.9092302326,17.909222683,17.9092302326,17.9092226805
3,4,14,8.9546215878,9.6904962622,18.2489230997,18.2489230997,9.0945545224,18.2489230997
3,4,15,6.9647083618,6.9647094023,6.9647094023,6.9647083786,6.7963243382,6.9647083632
3,4,16,1.9899181142,1.9899181403,1.9899181403,1.9899181142,1.9899181403,1.9899181142
3,4,17,4.9747952855,7.0103985738,20.4775754556,20.4775754556,5.6862118893,20.4775754556
3,4,18,4.9747902476,4.974790285,4.974790285,4.9747902477,4.974790285,4.9747902477
3,4,19,18.9041817368,19.841092709,30.6208078756,30.6208078756,19.7168528267,30.6208078756
3,5,0,13.9293914892,13.9293972367,13.9293972367,13.9293914934,13.9293972367,13.9293914903
3,5,1,18.9041817368,18.9041841468,18.9041841468,18.9041817527,18.9041841468,18.904181738
3,5,2,10.3087647695,15.0638574402,21.542269871,21.542269871,5.5180925274,21.542269871
3,5,3,11.9394784128,11.9394784128,11.9394784128,11.9394784128,11.9394784128,11.9394784128
3,5,4,17.9191255181,18.8597366192,36.9914033704,36.9914033704,16.9276606606,36.9914033704
3,5,5,30.8435943387,30.843594341,30.843594341,30.8435943387,30.843594341,30.8435943387
3,5,6,0.0,2e-10,2e-10,0.0,2e-10,0.0
3,5,7,6.9647083618,6.964708362,6.964708362,6.9647083618,6.964708362,6.9647083618
3,5,8,19.8991205972,22.8533630286,33.523486686,33.523486686,20.844791216,33.523486686
3,5,9,30.8435943387,30.8435964866,30.8435964866,30.8435943395,30.8435964866,30.8435943403
3,5,10,9.9495602986,9.9495604519,9.9495604519,9.9495602992,9.9495604519,9.9495602986
3,5,11,19.8991205972,19.8991206072,19.8991206072,19.8991205972,19.8991206072,19.8991205972
3,5,12,24.8738752879,26.303899586,44.3285085544,44.3285085544,25.8948934914,44.3285085544
3,5,13,8.9546214382,8.9546223334,8.9546223334,8.9546214384,8.9546223334,8.9546214386
3,5,14,21.1858963228,21.3175535361,26.723978459,26.723978459,21.7395325463,26.723978459
3,5,15,36.8133386056,36.8133386059,36.8133386059,36.8133386056,36.8133386059,36.8133386056
3,5,16,44.772920017,44.7729200469,44.7729200469,44.772920017,44.7729200469,44.772920017
3,5,17,5.9697493049,5.9698035322,5.9698035322,5.9697510323,5.9698035322,5.9697494692
3,5,18,21.8889930972,21.8889931053,21.8889931053,21.8889930972,21.8889931053,21.8889930972
3,5,19,1.9899181142,1.9899181161,1.9899181161,1.9899181142,1.9899181161,1.9899181142
4,1,0,15.9193096033,15.9193096057,15.9193096057,15.9193096033,15.9193096057,15.9193096033
4,1,1,29.8485131822,29.8485131874,29.8485131874,29.8485131822,29.8485131874,29.8485131824
4,1,2,21.8889930972,21.8889930975,21.8889930975,21.8889930972,21.8889930975,21.8889930972
4,1,3,5.9697493047,5.969774968,5.969774968,5.9697493285,5.969774968,5.9697494722
4,1,4,26.8638239212,26.8638239295,26.8638239295,26.8638239212,26.8638239295,26.8638239212
4,1,5,23.8789061736,23.8789062445,23.8789062445,23.8789061739,23.8789062445,23.8789061736
4,1,6,13.9293914891,13.929391588,13.929391588,13.9293914927,13.929391588,13.9293914893
4,1,7,29.8486352816,29.8486406256,29.8486406256,29.8486353333,29.8486406256,29.8486352824
4,1,8,15.9193096033,16.6281533663,18.4013690802,18.4013690802,16.2848387823,18.4013690802
4,1,9,14.9243505462,14.9243505486,14.9243505486,14.9243505462,14.9243505486,14.9243505462
4,1,10,14.9243505462,14.9262515886,14.9262515886,14.9243525939,14.9262515886,14.9243510522
4,1,11,11.9397575383,14.5439774866,28.0469792765,28.0469792765,12.3795041246,28.0469792765
4,1,12,18.9041817368,18.9041817614,18.9041817614,18.9041817368,18.9041817614,18.9041817368
4,1,13,23.8789517877,32.5420465036,57.2644860824,57.2644860824,31.6293054009,57.2644860824
4,1,14,14.9243505543,15.6191875584,33.4994239788,33.4994239788,15.4252398035,33.4994239788
4,1,15,16.0272345231,20.2672423398,41.9062745987,41.9062745987,17.5972476149,41.9062745987
4,1,16,9.9495804953,9.949580511,9.949580511,9.9495804954,9.949580511,9.9495804953
4,1,17,3.9798362284,3.9798362675,3.9798362675,3.9798362287,3.9798362675,3.9798362287
4,1,18,9.9495804973,10.9067882111,25.9336825587,25.9336825587,10.7160749838,25.9336825587
4,1,19,25.8688242878,25.8688242889,25.8688242889,25.8688242878,25.8688242889,25.8688242878
4,2,0,5.9697493047,5.9697493108,5.9697493108,5.9697493047,5.9697493108,5.9697493047
4,2,1,15.9193096033,16.5718460185,19.9214641809,19.9214641809,16.0549734096,19.9214641809
4,2,2,12.9344526288,12.9344528418,12.9344528418,12.9344526294,12.9344528418,12.934452629
4,2,3,17.9092226797,17.9092463954,17.9092463954,17.9092227406,17.9092463954,17.9092226928
4,2,4,19.8990800208,19.899080025,19.899080025,19.8990800209,19.899080025,19.8990800208
4,2,5,13.9294116858,13.9294117181,13.9294117181,13.9294116859,13.9294117181,13.9294116859
4,2,6,11.9394784128,11.9407081868,11.9407081868,11.9394863093,11.9407081868,11.9394794143
4,2,7,10.9445193557,10.9445196713,10.9445196713,10.9445193563,10.9445196713,10.9445193563
4,2,8,11.9398377311,14.4114295444,20.0697002874,20.0697002874,12.5936226844,20.0697002874
4,2,9,13.9293923208,13.9688604213,13.9688604213,13.9295052192,13.9688604213,13.9294183829
4,2,10,18.9041209637,18.9041209639,18.9041209639,18.9041209637,18.9041209639,18.9041209637
4,2,11,9.9495804953,9.9495804997,9.9495804997,9.9495804953,9.9495804997,9.9495804953
4,2,12,38.8031144237,38.8031182535,38.8031182535,38.8031144355,38.8031182535,38.8031144265
4,2,13,54.7223582161,54.7223582165,54.7223582165,54.7223582161,54.7223582165,54.7223582161
