fid,iid,rep,alg_B8,alg_B16,alg_B24,alg_B32,alg_B40,alg_B48,alg_B56,alg_B64,alg_B72,alg_B80,alg_B88,alg_B96,alg_B100,alg_B150,alg_B200,alg_B250,alg_B300,alg_B350,alg_B400,alg_B450,alg_B500,alg_B550,alg_B600,alg_B650,alg_B700,alg_B750,alg_B800,alg_B850,alg_B900,alg_B950,alg_B1000
1,1,0,Non-elitist,Same,Same,BFGS,MLSL,BFGS,MLSL,Same,MLSL,MLSL,MLSL,Non-elitist,MLSL,Same,Same,MLSL,MLSL,MLSL,Non-elitist,Non-elitist,MLSL,MLSL,MLSL,MLSL,Same,Non-elitist,BFGS,DE,Non-elitist,PSO,Same
1,1,1,Non-elitist,MLSL,Non-elitist,Non-elitist,Non-elitist,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,Same,MLSL,MLSL,Non-elitist,Non-elitist,MLSL,MLSL,Non-elitist,MLSL,Same,MLSL,DE,DE,MLSL,MLSL,Non-elitist,Same
1,1,2,Same,Same,Same,Same,BFGS,MLSL,MLSL,Same,MLSL,MLSL,MLSL,MLSL,MLSL,Non-elitist,Non-elitist,Same,MLSL,Non-elitist,MLSL,Non-elitist,MLSL,Non-elitist,MLSL,Non-elitist,MLSL,Same,DE,BFGS,DE,PSO,Same
1,1,3,Non-elitist,MLSL,MLSL,Same,Non-elitist,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,Non-elitist,Same,Same,Non-elitist,MLSL,Non-elitist,MLSL,Non-elitist,MLSL,Non-elitist,MLSL,MLSL,Same,Non-elitist,MLSL,Non-elitist,Same
1,1,4,Non-elitist,Non-elitist,Same,BFGS,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,Non-elitist,Same,Same,Non-elitist,MLSL,Non-elitist,MLSL,Non-elitist,MLSL,Non-elitist,MLSL,Same,DE,Non-elitist,DE,Same,Same
1,1,5,Same,Same,Same,BFGS,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,Same,Same,MLSL,Non-elitist,MLSL,Non-elitist,MLSL,Non-elitist,MLSL,Same,MLSL,DE,DE,Non-elitist,MLSL,Non-elitist,Same
1,1,6,Non-elitist,Non-elitist,Non-elitist,Non-elitist,MLSL,MLSL,MLSL,MLSL,MLSL,BFGS,MLSL,MLSL,MLSL,Same,Same,Same,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,Same,MLSL,BFGS,BFGS,DE,MLSL,Non-elitist,Same
1,1,7,Non-elitist,Same,Non-elitist,Same,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,Non-elitist,Non-elitist,Same,MLSL,Non-elitist,Non-elitist,Non-elitist,MLSL,Non-elitist,Non-elitist,Same,Same,Non-elitist,MLSL,Non-elitist,MLSL,Same,Same
1,1,8,MLSL,Same,BFGS,BFGS,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,Non-elitist,Same,MLSL,Non-elitist,MLSL,MLSL,MLSL,Non-elitist,MLSL,Non-elitist,MLSL,DE,DE,BFGS,DE,BFGS,Same
1,1,9,Non-elitist,Non-elitist,Same,BFGS,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,Same,BFGS,MLSL,Non-elitist,MLSL,Non-elitist,MLSL,Non-elitist,MLSL,Same,MLSL,Non-elitist,MLSL,Non-elitist,BFGS,Same,Same
1,1,10,Non-elitist,Same,Non-elitist,Non-elitist,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,Non-elitist,Non-elitist,Same,Same,Non-elitist,MLSL,Non-elitist,MLSL,Non-elitist,MLSL,Same,Same,Same,Same,Non-elitist,MLSL,Non-elitist,Same
1,1,11,Non-elitist,Same,Same,Same,Non-elitist,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,Non-elitist,Non-elitist,Same,MLSL,Non-elitist,MLSL,Non-elitist,MLSL,Non-elitist,Non-elitist,Same,MLSL,DE,DE,Non-elitist,MLSL,Non-elitist,Same
