fid,iid,rep,static_B8,static_B16,static_B24,static_B32,static_B40,static_B48,static_B56,static_B64,static_B72,static_B80,static_B88,static_B96,static_B100,static_B150,static_B200,static_B250,static_B300,static_B350,static_B400,static_B450,static_B500,static_B550,static_B600,static_B650,static_B700,static_B750,static_B800,static_B850,static_B900,static_B950,static_B1000
22,4,1,7.2716291936,2.590547732,0.6918569113,7.2716291936,7.2739517776,7.2716291948,0.6918569112,0.6918569112,7.2716292008,7.2716292205,7.2716291992,7.0675e-06,7.2716291936,2.5905478515,0.8978717162,0.6918569113,7.2716292012,7.2716291993,2.5905494354,0.6918569114,0.6918569472,0.0984767533,7.2716291941,7.2716291938,7.2716291937,7.2716291936,7.2716291936,4.5036729471,7.2716291936,7.2716291936,7.2716291936
22,4,2,7.2716291936,2.5905477301,2.5905477301,0.6918569114,0.6918569115,0.0052033704,8.7427505321,0.6918569114,8.7427506132,8.7427505321,8.7427506132,0.6918569114,8.7427505321,8.7427506132,8.7855569609,8.7427506212,8.7427505321,8.7451237149,8.7427505321,8.7427505321,8.7427505321,8.7427506132,8.7427505321,8.7427505321,8.7427505321,8.7427505321,8.7427505321,8.7427505321,8.7427505321,8.7427505539,8.7427506132
22,4,3,7.2716291936,0.6918569134,7.2716291936,0.1237933453,7.2716291945,7.2716291936,7.2716291959,0.1237933453,7.2716291936,7.2716291959,7.2716291959,7.2716291959,5.062737577,2.0520768028,0.6919038244,2.0520768028,5.0627374578,0.0188492728,0.0426081726,2.5920509248,0.6918569204,0.6918571819,0.6929327769,7.2716291937,7.2716291936,7.2716291936,6.4931304263,7.2716291936,7.2716291936,7.2716291936,7.2716291936
22,4,4,7.2716291936,0.0038013094,2.5905477301,2.5905478191,2.5905477306,2.5905477524,2.5905477301,2.5905477873,2.5905477873,2.5905477304,2.5905477626,2.5905477626,2.5905477301,2.5905485258,2.5905477301,2.5905477316,0.4032997484,1.9949719985,2.5905486495,0.6940130504,1.9544462026,2.5905477301,2.5905477301,2.5905477301,2.5905477301,2.5905477344,2.5905477305,2.5905477301,2.5905477301,2.5905477301,2.5905477301
22,4,5,0.6918569112,0.6918569113,4.946e-07,0.107746385,0.6918569112,0.6918569112,0.6918569112,0.6918569112,0.6918569112,0.6918569117,0.6918569112,0.0008455812,0.6918569112,0.6918569112,0.6918569123,0.6918569112,0.6930631899,0.6918569112,0.6918569114,0.6918569381,0.6918569321,0.6918569112,0.6918569112,0.6918569112,0.6918569114,0.6918569112,0.6918569112,0.6918569112,0.6918569112,0.6918569112,0.6918569112
22,4,6,7.2716291936,2.5905477305,0.6918569112,7.2716291936,2.5905477305,0.6415673525,0.0457239939,7.2716291936,7.2716291936,7.2716291936,2.5905477305,2.5908047564,2.5905477341,0.9306950688,0.6918569415,2.5905477317,0.6918569317,2.5905608262,0.0178179426,7.2716292421,0.6918569129,0.6918615305,0.6918927196,7.2716291937,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936
22,4,7,2.5905477301,0.0043053642,2.5905477301,2.5905477301,2.5905477301,0.1228023921,2.5905477949,2.5905477301,2.5905481967,2.09177956,2.5905477609,2.5905477609,2.5905477716,0.9194982823,2.5905479862,1.6971543954,2.5905477863,0.6918569113,2.5905477301,0.6918569383,0.6918569123,0.6976705701,2.5905477313,2.5905477309,2.5905477309,2.5905477301,2.5905477301,2.5905477301,2.5905477301,2.5905477301,2.5905477301
22,4,8,7.2716291936,1.9549995247,1.9549988595,1.9549988595,1.9549988595,1.9549988595,1.9549988595,0.0005858801,1.9549988595,0.6918569164,0.6918569113,0.1354891074,0.691856912,0.6939276782,0.0002179778,0.6918569112,0.0001429308,1.9549988595,0.6918569112,0.6918569115,1.9549992393,1.9549988665,1.9549988642,1.9549988596,1.9549988596,1.9549988595,1.9549988595,1.9549988595,1.9549988595,1.9549988595,1.9549988595
22,4,9,7.2716291936,0.1037132723,2.5905477302,2.6477614818,7.2716291936,0.6918569114,7.2716291936,0.6918569114,7.2716291936,1.2918095359,2.6761654537,7.2716291976,0.6918569115,4.4894175167,2.590549112,0.6918569116,2.5905576197,0.1580936226,0.1580936226,0.6918569139,7.2716291946,1.8802344504,6.7552102285,7.2716291937,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936
22,4,10,7.2716291936,2.0933614705,0.0,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291952,7.2716291936,7.2716291936,7.2716291936,7.2716291936,0.6918569115,0.6918569114,0.6918569115,5.0627374647,7.2716291936,7.2716291964,7.2716291936,0.6920866056,7.2716291937,7.2716291936,6.0322386398,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936
22,4,11,7.2716291936,2.3383553842,7.2716291936,7.2716291936,3.3902e-06,7.2716291936,2.5905479023,3.3902e-06,5.0627374566,4.00424283,7.2716292354,7.2716292041,5.0627375225,3.8749674604,0.6918569112,0.7536034718,0.6918570385,0.6918569112,0.283228464,0.6918569114,0.6918569113,0.1660233255,1.804367514,7.2716291937,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936
22,4,12,7.2716291936,7.2716291936,7.2716291936,7.2716291936,2.0808047961,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,0.6918569168,7.2716291936,0.6918569123,0.6918569137,7.2716291936,2.5905578056,2.5905578056,0.0300967375,2.5908674177,7.2716291936,7.2716291973,0.6918685386,1.7109640538,6.6215320031,7.2716291937,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936
22,4,13,2.5905477301,0.691856912,5.0627374586,0.691856913,0.6918569117,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716292285,0.6918569114,7.2716291936,0.6918569213,0.6918569114,7.2716291936,0.0423509947,0.0423509947,0.6918569409,0.6918569121,0.6918569121,0.0337933976,0.1236833322,0.0996944797,7.2716291937,7.2716291936,6.6373671483,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936
