fid,best_budget,total_precision
1,8,0.0
1,16,0.0
1,24,0.0
1,32,0.0
1,40,0.0
1,48,0.0
1,56,0.0
1,64,0.0
1,72,0.0
1,80,0.0
1,88,0.0
1,96,0.0
1,100,0.0
1,150,0.0
1,200,0.0
1,250,0.0
1,300,0.0
1,350,0.0
1,400,0.0
1,450,0.0
1,500,0.0
1,550,0.0
1,600,0.0
1,650,0.0
1,700,0.0
1,750,0.0
1,800,0.0
1,850,0.0
1,900,0.0
1,950,0.0
1,1000,0.0
2,56,4e-10
2,64,4e-10
3,32,734.5347701640002
4,400,908.574887097
5,16,0.0
5,24,0.0
5,32,0.0
5,40,0.0
5,48,0.0
5,56,0.0
5,72,0.0
5,80,0.0
5,88,0.0
5,100,0.0
5,150,0.0
5,200,0.0
5,250,0.0
5,450,0.0
5,500,0.0
5,600,0.0
5,700,0.0
5,750,0.0
5,800,0.0
5,850,0.0
5,900,0.0
5,950,0.0
5,1000,0.0
6,150,0.08820995080000002
7,8,92.50956410820001
8,600,47.1700732095
9,64,51.1009126433
9,72,51.1009126433
9,80,51.1009126433
9,250,51.1009126433
9,300,51.1009126433
9,350,51.1009126433
9,550,51.1009126433
9,600,51.1009126433
9,650,51.1009126433
9,700,51.1009126433
10,24,0.0006088914
11,64,0.32616492199999997
12,16,0.0003862997
13,8,60.407656625899996
14,550,0.00021549039999999999
15,32,641.7713540842998
16,24,64.08514422239999
17,16,12.1829218386
18,8,44.2787515691
19,700,56.45079170289999
20,150,127.48819567039999
21,24,133.5342091301
22,150,168.13676577069998
23,150,54.8949910156
24,16,1190.0240862693
